initial logfile.  28.July 06:31:47 
Start Training 10epochs (start from epoch 5) at:  28.July 06:31:47
epoch:  5  , batch: 50 /794, lr: 0.00100, time(min): 24.9, loss: 1.5761, prec1: 50.00, prec5: 83.33
epoch:  5  , batch: 51 /794, lr: 0.00100, time(min): 26.6, loss: 1.4093, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 52 /794, lr: 0.00100, time(min): 26.6, loss: 2.0015, prec1: 16.67, prec5: 100.00
epoch:  5  , batch: 53 /794, lr: 0.00100, time(min): 26.6, loss: 1.0216, prec1: 66.67, prec5: 100.00
epoch:  5  , batch: 54 /794, lr: 0.00100, time(min): 27.5, loss: 1.5275, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 55 /794, lr: 0.00100, time(min): 27.5, loss: 1.2524, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 56 /794, lr: 0.00100, time(min): 27.5, loss: 1.1953, prec1: 66.67, prec5: 83.33
epoch:  5  , batch: 57 /794, lr: 0.00100, time(min): 28.9, loss: 1.4475, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 58 /794, lr: 0.00100, time(min): 28.9, loss: 1.6072, prec1: 33.33, prec5: 83.33
epoch:  5  , batch: 59 /794, lr: 0.00100, time(min): 28.9, loss: 1.1758, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 60 /794, lr: 0.00100, time(min): 30.1, loss: 1.5381, prec1: 33.33, prec5: 66.67
epoch:  5  , batch: 61 /794, lr: 0.00100, time(min): 30.2, loss: 1.2023, prec1: 66.67, prec5: 100.00
epoch:  5  , batch: 62 /794, lr: 0.00100, time(min): 30.2, loss: 1.6636, prec1: 16.67, prec5: 83.33
epoch:  5  , batch: 63 /794, lr: 0.00100, time(min): 31.6, loss: 1.6408, prec1: 16.67, prec5: 100.00
epoch:  5  , batch: 64 /794, lr: 0.00100, time(min): 31.6, loss: 1.8074, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 65 /794, lr: 0.00100, time(min): 31.6, loss: 1.4282, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 66 /794, lr: 0.00100, time(min): 32.7, loss: 2.1032, prec1: 0.00, prec5: 83.33
epoch:  5  , batch: 67 /794, lr: 0.00100, time(min): 32.7, loss: 1.3947, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 68 /794, lr: 0.00100, time(min): 32.7, loss: 1.5259, prec1: 16.67, prec5: 100.00
epoch:  5  , batch: 69 /794, lr: 0.00100, time(min): 33.8, loss: 1.9680, prec1: 0.00, prec5: 100.00
epoch:  5  , batch: 70 /794, lr: 0.00100, time(min): 34.3, loss: 1.8114, prec1: 16.67, prec5: 83.33
epoch:  5  , batch: 71 /794, lr: 0.00100, time(min): 34.3, loss: 1.9457, prec1: 16.67, prec5: 83.33
epoch:  5  , batch: 72 /794, lr: 0.00100, time(min): 34.7, loss: 1.6517, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 73 /794, lr: 0.00100, time(min): 35.9, loss: 1.0564, prec1: 83.33, prec5: 100.00
epoch:  5  , batch: 74 /794, lr: 0.00100, time(min): 35.9, loss: 1.0651, prec1: 66.67, prec5: 100.00
epoch:  5  , batch: 75 /794, lr: 0.00100, time(min): 35.9, loss: 1.4907, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 76 /794, lr: 0.00100, time(min): 37.6, loss: 1.7200, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 77 /794, lr: 0.00100, time(min): 37.6, loss: 1.0526, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 78 /794, lr: 0.00100, time(min): 37.6, loss: 1.7959, prec1: 0.00, prec5: 100.00
epoch:  5  , batch: 79 /794, lr: 0.00100, time(min): 39.0, loss: 1.6237, prec1: 16.67, prec5: 100.00
epoch:  5  , batch: 80 /794, lr: 0.00100, time(min): 39.0, loss: 1.3902, prec1: 16.67, prec5: 100.00
epoch:  5  , batch: 81 /794, lr: 0.00100, time(min): 39.0, loss: 1.5633, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 82 /794, lr: 0.00100, time(min): 40.5, loss: 2.0327, prec1: 16.67, prec5: 83.33
epoch:  5  , batch: 83 /794, lr: 0.00100, time(min): 40.5, loss: 1.3430, prec1: 16.67, prec5: 100.00
epoch:  5  , batch: 84 /794, lr: 0.00100, time(min): 40.5, loss: 1.2416, prec1: 66.67, prec5: 100.00
epoch:  5  , batch: 85 /794, lr: 0.00100, time(min): 42.3, loss: 1.5792, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 86 /794, lr: 0.00100, time(min): 42.3, loss: 1.1018, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 87 /794, lr: 0.00100, time(min): 42.3, loss: 1.6869, prec1: 33.33, prec5: 83.33
epoch:  5  , batch: 88 /794, lr: 0.00100, time(min): 42.9, loss: 1.6096, prec1: 16.67, prec5: 100.00
epoch:  5  , batch: 89 /794, lr: 0.00100, time(min): 42.9, loss: 2.0177, prec1: 50.00, prec5: 83.33
epoch:  5  , batch: 90 /794, lr: 0.00100, time(min): 42.9, loss: 1.7060, prec1: 33.33, prec5: 83.33
epoch:  5  , batch: 91 /794, lr: 0.00100, time(min): 44.7, loss: 1.4761, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 92 /794, lr: 0.00100, time(min): 44.7, loss: 1.6263, prec1: 0.00, prec5: 100.00
epoch:  5  , batch: 93 /794, lr: 0.00100, time(min): 44.7, loss: 1.8163, prec1: 16.67, prec5: 83.33
epoch:  5  , batch: 94 /794, lr: 0.00100, time(min): 45.4, loss: 1.3695, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 95 /794, lr: 0.00100, time(min): 45.4, loss: 1.5815, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 96 /794, lr: 0.00100, time(min): 45.5, loss: 2.1468, prec1: 33.33, prec5: 66.67
epoch:  5  , batch: 97 /794, lr: 0.00100, time(min): 46.1, loss: 1.3953, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 98 /794, lr: 0.00100, time(min): 46.6, loss: 1.5425, prec1: 50.00, prec5: 83.33
epoch:  5  , batch: 99 /794, lr: 0.00100, time(min): 46.6, loss: 1.3667, prec1: 83.33, prec5: 100.00
epoch:  5  , batch: 100 /794, lr: 0.00100, time(min): 47.2, loss: 1.2901, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 101 /794, lr: 0.00100, time(min): 48.6, loss: 1.8938, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 102 /794, lr: 0.00100, time(min): 48.6, loss: 1.9530, prec1: 33.33, prec5: 83.33
epoch:  5  , batch: 103 /794, lr: 0.00100, time(min): 48.6, loss: 1.4955, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 104 /794, lr: 0.00100, time(min): 49.3, loss: 1.8392, prec1: 33.33, prec5: 83.33
epoch:  5  , batch: 105 /794, lr: 0.00100, time(min): 49.3, loss: 1.5272, prec1: 66.67, prec5: 100.00
epoch:  5  , batch: 106 /794, lr: 0.00100, time(min): 49.9, loss: 1.6317, prec1: 16.67, prec5: 83.33
epoch:  5  , batch: 107 /794, lr: 0.00100, time(min): 50.4, loss: 1.6531, prec1: 33.33, prec5: 83.33
epoch:  5  , batch: 108 /794, lr: 0.00100, time(min): 50.4, loss: 2.1663, prec1: 0.00, prec5: 83.33
epoch:  5  , batch: 109 /794, lr: 0.00100, time(min): 51.9, loss: 1.4437, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 110 /794, lr: 0.00100, time(min): 51.9, loss: 1.4529, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 111 /794, lr: 0.00100, time(min): 51.9, loss: 1.7713, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 112 /794, lr: 0.00100, time(min): 52.7, loss: 1.9256, prec1: 16.67, prec5: 83.33
epoch:  5  , batch: 113 /794, lr: 0.00100, time(min): 53.0, loss: 1.7189, prec1: 16.67, prec5: 100.00
epoch:  5  , batch: 114 /794, lr: 0.00100, time(min): 53.0, loss: 1.5358, prec1: 16.67, prec5: 100.00
epoch:  5  , batch: 115 /794, lr: 0.00100, time(min): 53.9, loss: 1.6186, prec1: 50.00, prec5: 83.33
epoch:  5  , batch: 116 /794, lr: 0.00100, time(min): 54.8, loss: 1.4758, prec1: 0.00, prec5: 100.00
epoch:  5  , batch: 117 /794, lr: 0.00100, time(min): 54.8, loss: 1.2883, prec1: 33.33, prec5: 100.00
epoch:  5  , batch: 118 /794, lr: 0.00100, time(min): 54.8, loss: 1.3446, prec1: 50.00, prec5: 100.00
epoch:  5  , batch: 119 /794, lr: 0.00100, time(min): 56.3, loss: 1.9917, prec1: 33.33, prec5: 83.33
